1
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
16060, 2140, 460, 480, 20, 0 
16220, 1980, 760, 480, 20, 0 
15980, 2100, 480, 480, 60, 0 
14780, 2300, 460, 460, 40, 0 
15760, 2260, 600, 360, 20, 0 
15380, 2180, 620, 400, 20, 0 
14640, 1860, 740, 580, 20, 0 
14840, 2060, 640, 480, 60, 0 
15360, 2100, 640, 700, 40, 20 
16360, 1900, 400, 540, 0, 0 
16260, 2040, 540, 660, 80, 0 
16420, 2460, 580, 520, 20, 0 
16300, 2000, 820, 620, 20, 0 
17380, 2100, 720, 620, 40, 0 
17380, 2240, 480, 480, 80, 20 
18500, 2260, 800, 560, 20, 0 
17800, 2240, 660, 320, 40, 20 
17760, 2280, 760, 440, 40, 40 
17280, 2240, 600, 580, 40, 20 
17200, 2440, 580, 460, 40, 0 
16520, 1880, 520, 400, 80, 0 
18400, 2120, 520, 480, 0, 0 
17080, 1820, 760, 740, 40, 0 
17980, 2260, 480, 380, 60,  
17680, 2380, 700, 560, 100, 40 
18420, 2460, 580, 560, 20, 20 
17760, 2220, 860, 720, 60, 20 
17540, 2280, 700, 740, 40, 20 
16980, 2460, 780, , 40,  
18360, 2600, , , 40, 0 
16580, 2520, 880, , , 20 
14100, 2140, 580, 600, 60, 20 
16380, 2520, 560, 580, 100, 0 
17920, 2380, 740, 800, 60, 20 
13340, 2740, 840, 500, 40, 0 
5
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
14080, 1800, 660, 560, 40, 0 
13600, 2260, 540, 620, 40, 0 
13180, 1780, 520, 460, 40, 20 
13960, 1960, 520, 400, 60, 20 
14700, 2320, 500, 600, 0, 0 
14900, 2240, 520, 500, 40, 0 
14060, 2180, 660, 460, 20, 0 
14720, 2160, 480, 380, 40, 20 
15720, 2180, 700, 660, 60, 0 
15040, 2780, 620, 600, 20, 0 
15180, 1980, 600, 460, 20, 0 
15180, 2340, 620, 440, 60, 0 
15400, 1880, 420, 280, 40, 0 
14980, 1940, 780, 520, 40, 0 
14440, 2080, 660, 420, 20, 0 
12960, 2180, 640, 480, 20, 0 
